Code,Name,Currency,Market Cap,Price, Change,Change %
GROC,GREENROC STRATEGIC MATERIALS PLC ORD 0.1P,GBX,10.4,3.6,-0.08,-2.17%
GRP,GREENCOAT RENEWABLES PLC ORD EUR0.01 (CDI),EUR,644.46,0.66,-,-
GTC,GETECH GROUP PLC ORD 0.25P,GBX,3.2,2.1,-,-
GTLY,GATELEY (HOLDINGS) PLC ORD 10P,GBX,120.11,88.5,1,1.14%
GUN,GUNSYND PLC ORD 0.085P,GBX,1.86,0.12,-,-
GWMO,GREAT WESTERN MINING CORP. PLC ORD EUR0.0001 (CDI),GBX,6.21,1.65,-,-
HAYD,HAYDALE PLC ORD 0.01P,GBX,31.88,0.41,-,-
HDD,HARDIDE PLC ORD 4P,GBX,20.49,26,-,-
HE1,HELIUM ONE GLOBAL LTD ORD NPV (DI),GBX,65.07,0.63,-0.07,-10.46%
HERC,HERCULES PLC ORD GBP0.001,GBX,43.92,54.5,-,-
HEX,HELIX EXPLORATION PLC ORD GBP0.01,GBX,53.17,26.25,-2.25,-7.90%
HMI,HARVEST MINERALS LIMITED ORD NPV (DI),GBX,1.26,0.33,-,-
HSP,HARGREAVES SERVICES PLC ORD 10P,GBX,257.85,806,26,3.33%
HUD,HUDDLED GROUP PLC ORD GBP0.00040108663,GBX,8.04,1.88,-,-
HUW,HELIOS UNDERWRITING PLC ORD 10P,GBX,151,217,-,-
HVO,HVIVO PLC ORD 0.1P,GBX,64.58,9.2,-0.2,-2.13%
IDOX,IDOX PLC ORD 1P,GBX,326.87,70.8,-,-
IES,INVINITY ENERGY SYSTEMS PLC ORD GBP0.01,GBX,112.33,19.38,-0.38,-1.90%
IGP,INTERCEDE GROUP PLC ORD 1P,GBX,72.8,118,-3,-2.48%
IGR,IG DESIGN GROUP PLC ORD 5P,GBX,62.92,64,-,-
IHC,INSPIRATION HEALTHCARE GROUP PLC ORD 10P,GBX,19.55,21.8,-,-
IKA,ILIKA PLC ORD 1P,GBX,49.73,27.5,-,-
IMM,IMMUPHARMA PLC ORD 1P,GBX,42.73,8.5,-,-
ING,INGENTA PLC ORD 10P,GBX,17.05,127,9.5,8.09%
INSG,INSIG AI PLC ORD 1P,GBX,20.93,16.75,-,-
IOF,IOFINA PLC ORD 1P,GBX,49.88,26,-,-
IOM,IOMART GROUP PLC ORD 1P,GBX,18.64,16.43,-,-
IPX,IMPAX ASSET MANAGEMENT GROUP PLC ORD 1P,GBX,184.72,147.4,2,1.38%
IQE,IQE PLC ORD 1P,GBX,102.57,10.78,0.3,2.86%
ITIM,ITIM GROUP PLC ORD GBP0.05,GBX,11.78,37.5,-,-
ITM,ITM POWER PLC ORD 5P,GBX,398.2,63,-1.5,-2.33%
ITX,ITACONIX PLC ORD 50P,GBX,16.18,120,-,-
IXI,IXICO PLC ORD 1P,GBX,7.07,7.63,-,-
JAN,JANGADA MINES PLC ORD GBP0.0004,GBX,17.6,2.3,0.1,4.55%
JDG,JUDGES SCIENTIFIC PLC ORD 5P,GBX,330.36,"4,960.00",-,-
JET2,JET2 PLC ORD 1.25P,GBX,"2,556.86","1,307.00",-1,-0.08%
JHD,JAMES HALSTEAD PLC ORD 5P,GBX,562.16,133.5,-1.5,-1.11%
JIM,JARVIS SECURITIES PLC ORD 0.25P,GBX,3.86,8.63,-,-
JLP,JUBILEE METALS GROUP PLC ORD 1P,GBX,138.12,4.6,0.21,4.78%
JNEO,JOURNEO PLC ORD 6.5P,GBX,83.96,475,-,-
JOG,JERSEY OIL AND GAS PLC ORD 1P,GBX,32.83,100.5,-,-
JSE,JADESTONE ENERGY PLC ORD GBP0.001,GBX,135.54,24.5,-0.5,-2.00%
KDNC,CADENCE MINERALS PLC ORD 1P,GBX,16.42,3.95,-,-
KDR,KARELIAN DIAMOND RESOURCES PLC ORD EUR0.00025 (CDI),GBX,0.98,0.5,-,-
KEFI,KEFI GOLD AND COPPER PLC ORD 0.1P,GBX,201.4,1.83,-0.05,-2.67%
KETL,STRIX GROUP PLC ORD 1P,GBX,112.81,48.65,-0.75,-1.52%
