Code,Name,Currency,Market Cap (m),Price,Change,Change %
3IN,3I INFRASTRUCTURE PLC ORD NPV,GBX,"3,242.06",352,0.5,0.14%
AAF,AIRTEL AFRICA PLC ORD USD0.50,GBX,"12,913.72",355.6,1.4,0.40%
AAIF,ABERDEEN ASIAN INCOME FUND LIMITED ORD NPV,GBX,424.7,299,1,0.34%
AAL,ANGLO AMERICAN PLC ORD USD0.623855311355311,GBX,"42,610.08","3,639.00",22,0.61%
AAS,ABERDEEN ASIA FOCUS PLC ORD 5P,GBX,576.34,410.00,-,-
ABDN,ABERDEEN GROUP PLC ORD 13 61/63P,GBX,"3,979.69",216.4,0.2,0.09%
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,GBX,"13,865.23","1,969.50",16,0.82%
ADIG,ABRDN DIVERSIFIED INCOME AND GROWTH ORD 1P,GBX,85.41,28.9,0.55,1.94%
ADM,ADMIRAL GROUP PLC ORD 0.1P,GBX,"8,821.57","2,866.00",-14,-0.49%
AEI,ABERDEEN EQUITY INCOME TRUST PLC ORD 25P,GBX,223.63,439.00,1,0.23%
AEP,AEP PLANTATIONS PLC ORD 25P,GBX,608.2,"1,555.00",-20,-1.27%
AEWU,AEW UK REIT PLC ORD GBP0.01,GBX,174.22,110,0.2,0.18%
AFL,ARTEMIS UK FUTURE LEADERS PLC ORD 20P,GBX,111.07,374,-,-
AGT,AVI GLOBAL TRUST PLC ORD 2P,GBX,"1,086.56",266.50,-1,-0.37%
AGVI,ABERFORTH GEARED VALUE & INCOME TRU ORD 1P,GBX,94.72,88.25,-,-
AHT,ASHTEAD GROUP PLC ORD 10P,GBX,"21,498.43","5,184.00",-6,-0.12%
AIE,ASHOKA INDIA EQUITY INVESTMENT TRUS ORD 1P,GBX,433.45,256,-,-
AJB,AJ BELL PLC ORD GBP0.000125,GBX,"1,700.68",425.6,-1,-0.23%
AJOT,AVI JAPAN OPPORTUNITY TRUST PLC ORD 1P,GBX,396.6,183,-,-
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PL ORD 0.1P,GBX,563.63,188,-2,-1.05%
ALW,ALLIANCE WITAN PLC ORD 2.5P,GBX,"4,879.08","1,280.00",-4,-0.31%
AML,ASTON MARTIN LAGONDA GLOBAL HOLDING ORD GBP0.10,GBX,594.82,57.85,-0.9,-1.53%
ANII,ABERDEEN NEW INDIA INV TRUST PLC ORD 25P,GBX,330.24,746,-,-
ANTO,ANTOFAGASTA PLC ORD 5P,GBX,"39,355.40","4,067.00",75,1.88%
AO.,AO WORLD PLC ORD 0.25P,GBX,574.04,101.4,1,1.00%
APN,APPLIED NUTRITION PLC ORD GBP0.0002,GBX,650,255.5,-4.5,-1.73%
APTD,APTITUDE SOFTWARE GROUP PLC ORD 7 1/3P,GBX,131.81,240,-,-
ARR,AURORA UK ALPHA PLC ORD 25P,GBX,291.59,268,3,1.13%
ASC,ASOS PLC ORD 3.5P,GBX,338.51,281,-2,-0.71%
ASHM,ASHMORE GROUP PLC ORD 0.01P,GBX,"1,746.21",241.6,-3.4,-1.39%
ASL,ABERFORTH SMALLER COMPANIES TST PLC ORD 1P,GBX,"1,329.40","1,672.00",-6,-0.36%
ASLI,ABRDN EUROPEAN LOGISTICS INCOME PLC ORD 1P,GBX,113.76,27.8,0.2,0.73%
AT.,ASHTEAD TECHNOLOGY HOLDINGS PLC ORD 5P,GBX,355.15,443,2.5,0.57%
ATG,AUCTION TECHNOLOGY GROUP PLC ORD 0.01P,GBX,382.1,318,2.5,0.79%
ATR,SCHRODER ASIAN TOTAL RETURN INV CO ORD 5P,GBX,577.98,616,-2,-0.32%
ATT,ALLIANZ TECHNOLOGY TRUST PLC ORD 2.5P,GBX,"1,919.56",538,-6,-1.10%
ATYM,"ATALAYA MINING COPPER, S.A. ORD EUR0.09 (CDI)",GBX,"1,517.60",999,12,1.22%
AUGM,AUGMENTUM FINTECH PLC ORD GBP0.01,GBX,147.88,87.6,-0.8,-0.91%
AUSC,ABERDN UK SMALL.CO'S GROWTH TST PLC ORD 25P,GBX,255.54,522,-,-
AUTO,AUTOTRADER GROUP PLC ORD 1P,GBX,"4,008.21",481.4,0.4,0.08%
AV.,AVIVA PLC ORD 32 17/19P,GBX,"20,040.41",656,0.6,0.09%
AVON,AVON TECHNOLOGIES PLC ORD #1,GBX,546.46,"1,788.00",-18,-1.00%
AZN,ASTRAZENECA PLC ORD SHS $0.25,GBX,"236,829.24","15,114.00",-156,-1.02%
BA.,BAE SYSTEMS PLC ORD 2.5P,GBX,"64,923.03","2,128.00",-37,-1.71%
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,GBX,"7,091.04","1,403.00",-17,-1.20%
BAG,BARR(A.G.) PLC ORD 4 1/6P,GBX,779.72,699,3,0.43%
BARC,BARCLAYS PLC ORD 25P,GBX,"65,406.81",477.3,3.5,0.74%
BASC,BROWN ADVISORY US SMALLER CO'S PLC ORD 25P,GBX,160.34,"1,415.00",-,-
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,GBX,"99,385.07","4,552.00",-17,-0.37%
BBH,BELLEVUE HEALTHCARE TRUST PLC RED ORD 1P,GBX,97.94,133,-0.8,-0.60%
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,GBX,"4,674.67",171.8,-1.2,-0.69%
BBY,BALFOUR BEATTY PLC ORD 50P,GBX,"3,803.82",777,1.5,0.19%
BCG,BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,GBX,876.71,186.6,-1.4,-0.75%
BERI,BLACKROCK ENERGY & RES. INC.TST PLC ORD 1P,GBX,189.07,186.5,1.5,0.81%
BEZ,BEAZLEY PLC ORD 5P,GBX,"7,308.03","1,222.00",3,0.25%
BGCG,BAILLIE GIFFORD CHINA GRWTH TST PLC ORD 25P,GBX,177.39,315,5,1.61%
BGEO,LION FINANCE GROUP PLC ORD 1P,GBX,"4,445.01","10,340.00",90,0.88%
BGEU,BAILLIE GIFFORD EUROPEAN GROWTH TRU ORD 2.5P,GBX,316.44,105.5,-,-
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P,GBX,692,923,-1,-0.11%
BGS,BAILLIE GIFFORD SHIN NIPPON PLC ORD 2P,GBX,361.14,148.4,1,0.68%
BGUK,BAILLIE GIFFORD UK GROWTH TRUST PLC ORD 25P,GBX,230.5,201,-2,-0.99%
BHMG,BH MACRO LD ORD NPV (GBP),GBX,"1,309.09",426,-,-
BIOG,BIOTECH GROWTH TRUST (THE) PLC ORD 25P,GBX,258.84,"1,220.00",-35,-2.79%
BIPS,INVESCO BOND INCOME PLUS LIMITED ORD NPV,GBX,446.92,174,-,-
BKG,BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.6110477936P,GBX,"4,117.86","4,326.00",-28,-0.64%
BLND,BRITISH LAND CO PLC ORD 25P,GBX,"4,189.55",419.8,0.8,0.19%
BME,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),GBX,"1,869.87",187.95,1.9,1.02%
BMS,BRAEMAR PLC ORD 10P,GBX,71.26,215.5,-,-
BMY,BLOOMSBURY PUBLISHING PLC ORD 1.25P,GBX,369.69,459,6,1.33%
BNKR,BANKERS INV TST PLC ORD 2.5P,GBX,"1,317.76",135.4,-0.8,-0.59%
BNZL,BUNZL PLC ORD 32 1/7P,GBX,"6,918.67","2,146.00",12,0.56%
BOOT,BOOT (HENRY) PLC ORD 10P,GBX,262.17,193,-2,-1.03%
BOWL,HOLLYWOOD BOWL GROUP PLC ORD 1P,GBX,428.81,257.5,0.5,0.20%
BOY,BODYCOTE PLC ORD 17 3/11P,GBX,"1,350.14",777.5,-4,-0.51%
BP.,BP PLC $0.25,GBX,"73,439.16",471.8,4.2,0.90%
BPCR,BIOPHARMA CREDIT PLC ORD USD0.01,USD,777.88,0.93,-,-
BPT,BRIDGEPOINT GROUP PLC ORD GBP0.00005,GBX,"2,295.60",259.8,-1.8,-0.69%
BRAI,BLACKROCK AMERICAN INCOME TRUST PLC ORD 1P,GBX,135.67,237,-3.5,-1.46%
BRBY,BURBERRY GROUP PLC ORD 0.05P,GBX,"4,380.66","1,253.00",39.5,3.26%
BREE,BREEDON GROUP PLC ORD GBP0.01,GBX,"1,254.15",358,-3.8,-1.05%
BRFI,BLACKROCK FR ORD USD0.01,GBX,381.38,203,1.5,0.74%
BRGE,BLACKROCK GREATER EURO INV TST PLC ORD 0.1P,GBX,558.3,600,-4,-0.66%
BRK,BROOKS MACDONALD GROUP PLC ORD 1P,GBX,262.77,"1,670.00",15,0.91%
BRLA,BLACKROCK LATIN AMERICAN INV TSTPLC ORD US$0.10,GBX,142.83,485,-,-
BRSC,BLACKROCK SMALLER COMPANIES TST PLC ORD 25P,GBX,564.55,"1,414.00",-4,-0.28%
BRWM,BLACKROCK WORLD MINING TRUST PLC ORD 5P,GBX,"1,829.49",987,7,0.71%
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED ORD NPV,GBX,441.1,74.8,0.3,0.40%
